Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,230.509995,252.649994,227.050003,249.330002,3535100,249.330002
2017-01-03,242.699997,247.770004,228.160004,229.320007,4430800,229.320007
2016-12-01,220.929993,245.570007,220.350006,239.449997,4665200,239.449997
2016-11-01,179.00,220.770004,174.729996,219.289993,4613200,219.289993
2016-10-03,160.50,178.850006,160.25,178.240005,2887600,177.689224
2016-09-01,170.00,172.419998,157.770004,161.270004,2849100,160.771667
2016-08-01,158.809998,170.240005,155.369995,169.460007,2358100,168.936356
2016-07-01,148.490005,164.089996,142.619995,158.809998,3401600,157.70256
2016-06-01,157.899994,160.550003,138.199997,148.580002,4037300,147.5439
2016-05-02,165.080002,167.190002,153.740005,159.479996,2921100,158.367889
2016-04-01,156.460007,168.899994,149.369995,164.110001,3536100,162.300323
2016-03-01,150.949997,158.899994,148.75,156.979996,4165000,155.248947
2016-02-01,160.410004,161.00,139.050003,149.529999,6461500,147.881104
2016-01-04,175.789993,177.50,151.119995,161.559998,5526300,159.087219
2015-12-01,191.220001,193.839996,172.899994,180.229996,3047200,177.471466
2015-11-02,188.320007,199.899994,186.559998,190.020004,2705200,187.111633
2015-10-01,174.399994,191.960007,169.869995,187.50,3244600,184.000122
2015-09-01,184.240005,191.75,167.490005,173.759995,3756900,170.516586
2015-08-03,205.75,207.779999,172.100006,188.600006,3263600,185.07959
2015-07-01,211.630005,214.610001,203.199997,205.070007,2433400,200.550827
2015-06-01,207.320007,218.770004,205.649994,208.789993,2820700,204.188828
2015-05-01,198.449997,209.679993,194.009995,206.190002,2447600,201.646133
2015-04-01,187.940002,202.869995,186.960007,196.419998,2784800,191.494202
2015-03-02,190.00,194.25,182.710007,187.970001,2384400,183.256119
2015-02-02,172.990005,193.279999,172.259995,189.789993,2774800,185.030457
2015-01-02,195.300003,195.729996,172.320007,172.410004,3352900,167.560287
2014-12-01,188.00,198.059998,182.399994,193.830002,3263100,188.377762
2014-11-03,190.350006,192.679993,187.550003,188.410004,2173800,183.110229
2014-10-01,183.190002,190.00,171.259995,189.990005,3751300,184.058121
2014-09-02,179.259995,188.580002,176.619995,183.570007,2592000,177.838562
2014-08-01,172.380005,179.860001,168.020004,179.110001,2312200,173.517807
2014-07-01,166.350006,177.479996,161.529999,172.869995,2894700,166.954865
2014-06-02,159.779999,171.080002,157.910004,167.440002,2389500,161.710663
2014-05-01,159.800003,163.429993,153.710007,159.809998,2537000,154.341736
2014-04-01,164.759995,167.669998,151.649994,159.820007,3878000,153.82663
2014-03-03,164.220001,175.589996,160.770004,163.850006,3422600,157.705505
2014-02-03,165.149994,167.820007,159.770004,166.449997,3930400,160.207993
2014-01-02,176.949997,181.130005,163.300003,164.119995,3384000,157.433914
2013-12-02,169.880005,177.440002,164.770004,177.259995,2732400,170.038605
2013-11-01,161.029999,170.690002,159.610001,168.940002,2970800,162.057571
2013-10-01,158.860001,163.350006,152.830002,160.860001,3387600,153.801682
2013-09-03,154.479996,170.00,153.419998,158.210007,4078100,151.267975
2013-08-01,165.740005,169.690002,151.330002,152.130005,2470800,145.454758
2013-07-01,152.779999,167.410004,149.279999,164.029999,3136100,156.320831
2013-06-03,161.559998,168.199997,148.710007,151.25,3951600,144.141479
2013-05-01,145.830002,165.830002,140.389999,162.080002,4267500,154.462479
2013-04-01,146.669998,151.449997,137.289993,146.070007,3836500,138.766403
2013-03-01,148.119995,157.190002,144.679993,147.149994,4327800,139.792389
2013-02-01,148.509995,159.00,146.619995,149.759995,5128200,142.271896
2013-01-02,131.300003,148.00,129.619995,147.860001,4885400,139.991226
2012-12-03,118.419998,129.720001,115.620003,127.559998,4200100,120.771545
2012-11-01,122.82,126.730003,113.839996,117.790001,3939800,111.521484
2012-10-01,116.669998,126.480003,116.220001,122.389999,4752100,115.387375
2012-09-04,105.550003,122.599998,105.540001,113.68,4989900,107.175728
2012-08-01,101.269997,107.339996,96.720001,105.720001,3224300,99.671165
2012-07-02,96.559998,102.18,91.150002,100.900002,4769600,94.71067
2012-06-01,94.07,97.599998,90.43,95.860001,5273400,89.979828
2012-05-01,114.839996,116.480003,93.699997,95.699997,5725000,89.829643
2012-04-02,124.139999,125.540001,110.07,115.150002,6123800,107.572395
2012-03-01,115.970001,128.720001,113.110001,124.370003,6969700,116.185661
2012-02-01,112.610001,118.660004,111.400002,115.139999,6055000,107.563049
2012-01-03,92.970001,112.50,92.419998,111.470001,8386700,103.820984
2011-12-01,94.580002,106.099998,86.900002,90.43,7752200,84.224739
2011-11-01,103.489998,109.260002,87.599998,95.860001,7669700,89.282135
2011-10-03,93.739998,118.07,84.269997,109.550003,8931200,101.639351
2011-09-01,115.550003,115.550003,91.400002,94.550003,8216400,87.722504
2011-08-01,136.919998,137.339996,103.160004,116.220001,10302900,107.827705
2011-07-01,133.429993,139.25,125.50,134.970001,5932800,124.846161
2011-06-01,139.949997,140.00,128.300003,133.089996,6398400,123.10717
2011-05-02,152.199997,153.070007,133.639999,140.729996,7225700,130.174103
2011-04-01,159.770004,164.399994,149.550003,151.009995,5401400,139.324234
2011-03-01,163.550003,165.179993,153.259995,158.600006,5018000,146.326889
2011-02-01,163.860001,169.899994,161.320007,163.779999,4590600,151.106033
2011-01-03,170.550003,175.339996,160.119995,163.619995,6016300,150.638443
2010-12-01,158.449997,171.229996,157.00,168.160004,4330900,154.818237
2010-11-01,161.770004,171.610001,156.139999,156.139999,5961700,143.751907
2010-10-01,145.199997,163.789993,144.699997,161.130005,6960300,148.020035
2010-09-01,139.009995,154.699997,137.800003,144.580002,7002500,132.816574
